method,seed,step,time_s,lambda_req,lambda_des,lambda2_pre,lambda2_post,connectivity_safety_margin,lambda3_post,fiedler_gap_post,lambda2_estimate_mean,lambda2_estimate_max,maximum_unsafe_overestimation,subspace_sine_error,aligned_basis_spectral_error,maximum_aligned_row_error,procrustes_factor_disagreement,maximum_prenormalized_row_norm,minimum_local_gram_eigenvalue,minimum_exact_cross_singular_value,maximum_laplacian_eigenvalue,consensus_contraction,exact_global_matrix_margin,estimated_tightened_global_margin,estimated_untightened_global_margin,minimum_local_matrix_margin,minimum_inner_local_matrix_margin,solver_feasible,offline_total_spectral_error_bound,offline_maximum_local_error_bound,beta_total,master_residual_eta_q,resource_zero_sum_error,control_correction,task_error,active_edge_count,edge_appearances,edge_disappearances,consensus_rounds,consensus_step,diffusion_step,warmup_steps,allocation_inner_iterations,p1_x_m,p1_y_m,p2_x_m,p2_y_m,p3_x_m,p3_y_m,p4_x_m,p4_y_m,p5_x_m,p5_y_m,p6_x_m,p6_y_m
estimated-subspace-empirical,14,0,0.025,0.195,0.205,0.9528077435349479,0.9008247596446181,0.7058247596446181,0.9101724799072617,0.009347720262643633,0.9528047174096619,0.9528116788260177,3.935291069789848e-06,1.3921114271282252e-05,1.4014553952580328e-05,8.571707739661625e-06,4.724453205856524e-16,0.30741206827824247,0.2686442520011903,0.9999983884566314,1.4997275216062778,0.9047192256465052,0.15453326654381042,0.15153234693393955,0.15453234693393966,-1.823195533581693e-11,-1.8601817600424025e-11,True,0.0017462185540310063,0.00029461527854887827,0.003,280.3069900739059,2.797157557069881e-17,9.667443668953489,19.136702029007598,15,0,0,80,0.1,0.5,80,10,12.203469454991616,0.11486631475403915,5.96383377224201,10.565814380315937,-6.108641987801959,10.795990093285893,-12.261665409755569,-0.06284512268507804,-6.227582848553379,-10.317312998483118,6.132364351575708,-10.495901415232467
estimated-subspace-empirical,14,1,0.05,0.195,0.205,0.9008247596446185,0.8504158776328881,0.655415877632888,0.8578086268840942,0.007392749251206143,0.9008219362428859,0.900832170370281,7.410725662460038e-06,0.0017319849100625808,0.0017319856159457468,0.0012086086827544453,6.762148617570363e-07,0.3225978517587642,0.29663607467393904,0.9999970530342323,1.4544942553926212,0.9099175240355382,0.01851245762246931,0.015558941575588289,0.018558941575588357,-1.7625377100368585e-11,-1.8327044060345966e-11,True,0.20885391470545517,0.035368520965966765,0.003,245.0380490873559,3.469446951953614e-18,9.349870517026263,18.651497994645243,15,0,0,80,0.1,0.5,80,10,12.400310925605488,0.13574882452805398,6.055434537521225,10.739365352208242,-6.183507928424061,10.986705999682833,-12.445993585155945,-0.07353570133365525,-6.331932653552826,-10.483196110634378,6.246943397430876,-10.671309730505776
estimated-subspace-empirical,14,2,0.07500000000000001,0.195,0.205,0.850415877632888,0.8035668962711533,0.6085668962711532,0.8098068023128191,0.006239906041665799,0.8504114500827602,0.8504270642210442,1.1186588156242294e-05,0.0020596892947910435,0.0020596906149651572,0.0013761949283535259,1.3675164735619127e-06,0.3375644915865796,0.3256363048850587,0.9999958843678302,1.4105839618224267,0.9149584122367111,0.024088826888624612,0.021159730366814337,0.024159730366814132,-1.6649784818231255e-11,-1.8371269149022047e-11,True,0.23513919406824912,0.039656521463509044,0.003,228.78671590020116,3.1031676915590914e-17,10.007851756533725,18.200395308812325,15,0,0,80,0.1,0.5,80,10,12.580610661792678,0.15433476990777603,6.139658421182099,10.895051829543918,-6.248436023186586,11.164481154166676,-12.627391518096164,-0.07392126970437712,-6.422018054595445,-10.639029643715425,6.3575417665671905,-10.835380428958613
estimated-subspace-empirical,14,3,0.1,0.195,0.205,0.8035668962711533,0.7608671631281477,0.5658671631281478,0.7653901015006027,0.004522938372454988,0.8035606393860143,0.8035838127983408,1.6916527187493813e-05,0.0025184743464407512,0.002518475916067221,0.0015847973195936397,2.6225773184655397e-06,0.3511815681688558,0.3532900875227471,0.999994045199387,1.3703639112969264,0.9196433103728847,0.024559544805989788,0.021666313682598165,0.024666313682598074,-1.7710588962024713e-11,-1.8130826661860895e-11,True,0.2723401341306646,0.04589675965877948,0.003,347.028587794423,3.122502256758253e-17,10.510619498851039,17.779699654618657,15,0,0,80,0.1,0.5,80,10,12.748321555382434,0.17581549576336727,6.216414206302863,11.043841422601819,-6.313608077557502,11.331950323692238,-12.794865131184267,-0.08243122633177992,-6.514045786720222,-10.78004341175662,6.455327641064771,-10.9855577441512
estimated-subspace-empirical,14,4,0.125,0.195,0.205,0.7608671631281476,0.7209841030787274,0.5259841030787273,0.7246877458822005,0.0037036428034731284,0.7608572088192811,0.7608893079311209,2.214480297324517e-05,0.0025943597778211955,0.0025943648153066543,0.0015919878300498494,3.615361408679019e-06,0.3634710714235681,0.37972066773039587,0.999992228112809,1.3345353148541506,0.9239132836871853,0.03644892501224328,0.03349624721609459,0.0364962472160947,-1.6663962262479275e-11,-1.8026099041597218e-11,True,0.266967607926113,0.04515494343052534,0.003,227.10290070901132,1.3877787807814457e-17,10.849232217548844,17.38286828807939,15,0,0,80,0.1,0.5,80,10,12.906930821028332,0.1917313892140361,6.289267730005367,11.179834672636419,-6.3752427389119335,11.486649512723563,-12.955170409106628,-0.09016411971023097,-6.5986965722620115,-10.908992028104509,6.555296901505712,-11.132974085550101
estimated-subspace-empirical,14,5,0.15000000000000002,0.195,0.205,0.7209841030787273,0.683975520332157,0.488975520332157,0.6871151861349658,0.0031396658028087776,0.7209705779035941,0.7210140810228631,2.997794413583943e-05,0.0029056310922122557,0.002905642210543846,0.001809806429749496,5.078354049367358e-06,0.3746389786623937,0.4045659964247366,0.9999892041245521,1.3029613426544069,0.9279015896921272,0.033298003720089876,0.030438442283609066,0.03343844228360917,-6.746491033406845e-17,-1.7895992348700602e-11,True,0.2852455559260602,0.048362081852317114,0.003,154.6414548369982,2.964296775167217e-17,11.062312646973686,17.00633635903425,15,0,0,80,0.1,0.5,80,10,13.059273103559173,0.20806910579324478,6.361235502729398,11.305829207897993,-6.438268889857263,11.633974049648064,-13.107069098573456,-0.10035209459803267,-6.679564089819054,-11.029112101840573,6.651586041173622,-11.270305536368667
estimated-subspace-empirical,14,6,0.17500000000000002,0.195,0.205,0.6839755203321576,0.6492987493044762,0.45429874930447617,0.6519813513349668,0.002682602030490644,0.6839558362171685,0.6840127230543724,3.720272221485743e-05,0.002875624790247664,0.0028756558099284403,0.0018287868879490854,6.205172805117647e-06,0.38558375130778283,0.42793468423834957,0.9999856969215976,1.274651707214906,0.9316024479667843,0.015004269822702573,0.012163339024053603,0.015163339024053672,-2.635695197554086e-12,-1.8081453387208957e-11,True,0.2708438666719579,0.04593889619883706,0.003,155.3269204439584,3.122502256758253e-17,11.053903483243088,16.64338993632306,15,0,0,80,0.1,0.5,80,10,13.204975254430451,0.22608744122196656,6.430355445405262,11.424747542620487,-6.4963173521534,11.777245549404125,-13.254623313454832,-0.10662313428646132,-6.756374273038346,-11.14581135532985,6.7476781347666535,-11.403302803997784
estimated-subspace-empirical,14,7,0.2,0.195,0.205,0.6492987493044765,0.6171383663891767,0.42213836638917673,0.6195594749825885,0.002421108593411714,0.6492719166937087,0.6493499034706276,5.1154166151090585e-05,0.00316527567698694,0.0031653392415314065,0.0020024351916789035,8.663010917031366e-06,0.3958262313096632,0.4500506945067042,0.9999804294175795,1.2490124609083073,0.9350701250695523,0.007233029532939952,0.004354576969198947,0.007354576969198975,-1.7218134675556166e-11,-1.7481373249260517e-11,True,0.28519205440489764,0.04868872660733505,0.003,310.7288258938314,1.962615573354719e-17,11.139001441078271,16.296656910841865,15,0,0,80,0.1,0.5,80,10,13.347554284409622,0.2392358299516169,6.495668837906321,11.539943077734465,-6.553448366737957,11.911433237342111,-13.396431883411342,-0.11537715682452968,-6.830266637355258,-11.256721556478155,6.834556598767521,-11.529971417461033
estimated-subspace-empirical,14,8,0.225,0.195,0.205,0.6171383663891766,0.5875709695448177,0.3925709695448177,0.5891635958240683,0.0015926262792506085,0.61710021077524,0.6171982961899151,5.9929800738434125e-05,0.0030108289566643243,0.0030109960203037376,0.0018578810312005404,9.874735770104496e-06,0.4050391022442271,0.47058486694084734,0.9999740300472199,1.2256992978134282,0.9382861633610824,0.005278553078743678,0.0022737880581420226,0.005273788058142051,-1.7034543335040114e-11,-1.7582457917695493e-11,True,0.26010568378636645,0.04375673254716556,0.003,284.3720824687977,2.797157557069881e-17,11.18687270345441,15.963170766939495,15,0,0,80,0.1,0.5,80,10,13.478622020421817,0.2513560818857226,6.5545193516595015,11.652306878595649,-6.608054792925685,12.046342558974148,-13.528642387546613,-0.11821663076079997,-6.896330368548836,-11.366409108474064,6.922865681698758,-11.656901940225177
estimated-subspace-empirical,14,9,0.25,0.195,0.205,0.5875709695448175,0.5601329669516235,0.3651329669516235,0.5615504261206602,0.0014174591690366833,0.5875185565303594,0.5876423982743894,7.14287295718874e-05,0.003240689653571021,0.0032410114944399103,0.0019827819766360085,1.2684018067170917e-05,0.4135356333107965,0.489733596791711,0.9999651649045278,1.2045549636698636,0.9412429030455183,0.0183723549545746,0.015435784449016098,0.018435784449016047,-2.0572394033198166e-12,-1.7265035054585677e-11,True,0.2680712674902087,0.045524348250888975,0.003,165.63543172799245,3.122502256758253e-17,11.27830692286533,15.64468102596598,15,0,0,80,0.1,0.5,80,10,13.6068282867344,0.2646951225433369,6.612197694364459,11.755742082679841,-6.659624400798981,12.174365014895299,-13.658161858510987,-0.12319588624171644,-6.961295306338526,-11.467208786060633,7.007423489400928,-11.77724656913431
