method,minimum_lambda2,minimum_connectivity_safety_margin,negative_connectivity_safety_samples,minimum_fiedler_gap,minimum_exact_global_matrix_margin,minimum_inner_local_matrix_margin,negative_exact_margin_samples,minimum_active_edges,maximum_active_edges,total_edge_appearances,total_edge_disappearances,final_active_edges,maximum_control_correction,final_task_error,allocation_inner_iterations,minimum_master_residual_eta_q,maximum_master_residual_eta_q,maximum_resource_zero_sum_error
nominal,0.1581986940720417,-0.0368013059279583,200,0.006190242581420757,-1.154213314060101,,240,6,15,0,9,6,0.0,0.0020377298199229367,,,,
centralized,0.20500000625612422,0.010000006256124211,0,1.262538407154068e-10,-6.873128348194927e-16,,0,6,15,0,9,6,10.99845275715034,4.7665861706195605,,,,
aggregate,0.29220663260463525,0.09720663260463525,0,0.005544437671563762,0.24637686800611214,,0,13,15,1,2,14,21.983552660474594,14.480683555477954,,,,
allocation,0.20709270851729514,0.012092708517295131,0,0.0007387096128418091,0.00042629280680204655,-1.901129648701402e-11,0,6,15,4,13,6,20.974493217135723,5.3282886289712,10.0,140.90576094922804,2841.1989984667357,6.992893892674703e-17
