method,independent_runs,lambda2_RMSE_mean,lambda2_RMSE_std,maximum_positive_overestimate,mean_subspace_sine_error,mean_node_estimate_disagreement,minimum_fiedler_gap,minimum_active_edges,maximum_active_edges,consensus_rounds
ours-r1-ablation,10,0.10352044923563956,0.01042197010081431,0.21116457835319594,0.674432915666322,2.6609743482749098e-12,2.7755575615628914e-17,4,4,80
ours-r2-block,10,0.000530435408437702,1.153315725721769e-17,0.0,1.1206586996680777e-08,5.622817026799491e-16,2.7755575615628914e-17,4,4,80
yang-2010-single-fiedler,10,0.3995063023840048,0.13522158371787624,0.9342457814074665,0.7633077607836947,0.5681218067229079,2.7755575615628914e-17,4,4,80
zhang-2022-scalar-monitor,10,0.1530994436507868,0.06958380828114794,0.5220424155037003,,0.11763817162499632,2.7755575615628914e-17,4,4,80
