method,minimum_lambda2,minimum_connectivity_safety_margin,negative_connectivity_safety_samples,minimum_fiedler_gap,minimum_exact_global_matrix_margin,minimum_inner_local_matrix_margin,negative_exact_margin_samples,minimum_active_edges,maximum_active_edges,total_edge_appearances,total_edge_disappearances,final_active_edges,final_lambda2,final_connected_components,maximum_control_correction,final_task_error,allocation_inner_iterations,minimum_master_residual_eta_q,maximum_master_residual_eta_q,maximum_resource_zero_sum_error
nominal,0.0,-0.195,222,0.01583759864159287,-2.7546501786486335,,240,4,15,0,11,4,4.827402968805951e-17,2,0.0,0.003109626875100989,,,,
centralized,0.20500001051525896,0.01000001051525895,0,0.002706446961164344,-1.4955049166278242e-11,,0,9,15,0,6,9,0.20500001051525896,1,25.202293123411877,12.913196811872847,,,,
aggregate,0.19256717167366322,-0.002432828326336789,54,0.007120143915274657,-0.03934355882413046,,96,11,15,1,4,12,0.19512035907244155,1,34.198512082883475,17.859383356297077,,,,
allocation,0.2155320119489675,0.020532011948967505,0,0.023881020584246238,0.0010745848784863943,-1.9666845660921765e-11,0,9,15,2,8,9,0.22094511022148877,1,30.271970035161566,14.454549958929347,10.0,140.96321201652094,1401.441475173752,2.3795449221434073e-16
