method,step,time_s,lambda_req,lambda_des,lambda2_pre,lambda2_post,connectivity_safety_margin,lambda3_post,fiedler_gap_post,exact_global_matrix_margin,minimum_local_matrix_margin,minimum_inner_local_matrix_margin,master_residual_eta_q,allocation_inner_iterations,control_correction,task_error,active_edge_count,edge_appearances,edge_disappearances,cumulative_edge_appearances,cumulative_edge_disappearances,consensus_step,consensus_contraction,resource_zero_sum_error,p1_x_m,p1_y_m,p2_x_m,p2_y_m,p3_x_m,p3_y_m,p4_x_m,p4_y_m,p5_x_m,p5_y_m,p6_x_m,p6_y_m
nominal,10,0.275,0.195,0.205,0.3036677319048223,0.28985841589997957,0.09485841589997956,0.326997414997244,0.037138999097264425,-0.6372709107525454,,,,,0.0,19.67610981309123,13,0,0,0,2,0.1,0.971014158410002,,20.225745050242036,0.7059382785151856,7.282384530799212,12.770732338437613,-7.076512695273422,13.083994136055066,-14.78224921998504,-0.27416627510215696,-7.6544348430200015,-12.490078578921688,7.480335982874362,-12.663377588015566
nominal,11,0.30000000000000004,0.195,0.205,0.28985841589997946,0.2772136747135595,0.0822136747135595,0.30515648173706317,0.027942807023503657,-0.5732310593132763,,,,,0.0,18.93825569510031,12,0,1,0,3,0.1,0.9722786325286441,,20.81542948327349,0.7501191245182838,7.384295110894242,12.941348925746203,-7.151636344200669,13.261599230953001,-14.977458011735601,-0.29005966478582607,-7.764832973906752,-12.657736707212125,7.586101921016573,-12.831376403464983
nominal,12,0.325,0.195,0.205,0.2772136747135595,0.2650678604668837,0.07006786046688368,0.286113421307816,0.021045560840932287,-0.5346499609300939,,,,,0.0,18.228071106534045,10,0,2,0,5,0.1,0.9734932139533117,,21.383000750066266,0.7926431887962657,7.482384044235708,13.10556739103072,-7.223942856293144,13.432544134792263,-15.165346473795516,-0.3053570523563576,-7.871091174885248,-12.81910765569167,7.687901636478452,-12.993075263335045
nominal,13,0.35000000000000003,0.195,0.205,0.2650678604668836,0.25287679717145556,0.05787679717145555,0.26974354365538755,0.016866746483931994,-0.5149667649498906,,,,,0.0,17.544518440039017,10,0,0,0,5,0.1,0.9747123202828545,,21.929288094354312,0.8335726006638234,7.5767946425768695,13.263627663867068,-7.293537874182151,13.597078604737552,-15.346189118528184,-0.32008078789299416,-7.973364693327052,-12.974427193603233,7.78588386261051,-13.14871041595998
nominal,14,0.375,0.195,0.205,0.2528767971714555,0.2402532608945174,0.045253260894517394,0.25609085953611027,0.01583759864159287,-0.5021396278099678,,,,,0.0,16.886598998537558,10,0,0,0,5,0.1,0.9759746739105483,,22.455089663231554,0.8729671595863477,7.667664843480237,13.415760676472052,-7.360523078900321,13.755443032059894,-15.520250164083377,-0.33425238334700685,-8.071802954827287,-13.123922248843112,7.880191755262616,-13.298509250361482
nominal,15,0.4,0.195,0.205,0.24025326089451743,0.2273527479343719,0.0323527479343719,0.24473367946431057,0.017380931529938665,-0.4925648361700705,,,,,0.0,16.253351536092396,10,0,0,0,5,0.1,0.9772647252065628,,22.9611736732759,0.9108844225492774,7.755127411849728,13.56218870110435,-7.4249963384415585,13.907868793357649,-15.68778392043025,-0.3478925439714941,-8.166549781521264,-13.267811239511495,7.970963101940268,-13.442690628472926
nominal,16,0.42500000000000004,0.195,0.205,0.227352747934372,0.2147009670682201,0.019700967068220082,0.23490896622973753,0.020207999161517443,-0.4852546783714081,,,,,0.0,15.643850853488932,10,0,0,0,5,0.1,0.978529903293178,,23.448279532943584,0.9473797881510971,7.8393101339053635,13.703125674812938,-7.48705185075,14.054578588606736,-15.849035160914116,-0.3610211985725631,-8.257743602214216,-13.406304393029814,8.058330523117508,-13.581465204905191
nominal,17,0.45,0.195,0.205,0.21470096706822012,0.20266142170148413,0.007661421701484122,0.22602723263427726,0.023365810932793135,-0.47967478605133956,,,,,0.0,15.057206446483097,10,0,0,0,5,0.1,0.9797338578298516,,23.91711892287373,0.9825065775428486,7.920336003883913,13.838777512007454,-7.546780281346876,14.195786766533983,-16.004239479879836,-0.373657528626092,-8.345517654631182,-13.539604053291196,8.142421666000601,-13.715035734721246
nominal,18,0.47500000000000003,0.195,0.205,0.20266142170148418,0.19136717308941878,-0.003632826910581227,0.21773422700839373,0.026367053918974953,-0.4756155633740779,,,,,0.0,14.492561204739982,10,0,0,0,5,0.1,0.9808632826910582,,24.368376835681495,1.0163161123324094,7.998323403738266,13.969342405307174,-7.604268895796368,14.331699637788958,-16.15362363688434,-0.38581999630261354,-8.430000180082512,-13.667904976292776,8.223359391025578,-13.8435973696692
nominal,19,0.5,0.195,0.205,0.1913671730894188,0.18082900751623188,-0.01417099248376813,0.20980281215861757,0.028973804642385692,-0.4731322405752743,,,,,0.0,13.949090159562234,10,0,0,0,5,0.1,0.9819170992483768,,24.802712576758967,1.0488577895673616,8.07338627609808,14.095011115108155,-7.659601687204004,14.462515776371871,-16.297405888001176,-0.3975263714412655,-8.511314610829418,-13.791394614681797,8.30126195136212,-13.967337943306605
nominal,20,0.525,0.195,0.205,0.18082900751623193,0.17100334904894934,-0.023996650951050663,0.20206922434194924,0.031065875292999895,-0.47254497492192615,,,,,0.0,13.42599927857865,10,0,0,0,5,0.1,0.9828996650951051,,25.220760727546036,1.0801791539060033,8.145634290744402,14.2159672482916,-7.712859498933854,14.588426309757926,-16.43579630470113,-0.4087937575122181,-8.589579750423315,-13.91025339163123,8.37624316568604,-14.086438245432607
nominal,21,0.55,0.195,0.205,0.17100334904894937,0.16182133358547016,-0.03317866641452985,0.19441085904772018,0.032589525462250024,-0.474491636736898,,,,,0.0,12.92252430563195,10,0,0,0,5,0.1,0.983817866641453,,25.62313207267859,1.1103259670819459,8.215173004841487,14.332387526480664,-7.764120142723835,14.709615198142004,-16.56899708077484,-0.4196386166055099,-8.66490994728244,-14.024654964445059,8.448412584472813,-14.201072286228884
nominal,22,0.5750000000000001,0.195,0.205,0.16182133358547018,0.15320035200212812,-0.04179964799787189,0.1867431344897381,0.03354278248760997,-0.479995803849973,,,,,0.0,12.43792964417075,10,0,0,0,5,0.1,0.9846799647997871,,26.010414492368675,1.1393422747637905,8.28210401715993,14.44444204423764,-7.813458512371691,14.826259503211679,-16.697202827745784,-0.43007679348280325,-8.737415261759349,-14.134766478278369,8.517875650055082,-14.311407550495302
nominal,23,0.6000000000000001,0.195,0.205,0.1532003520021282,0.1450486121323614,-0.049951387867638614,0.17902350318402657,0.03397489105166518,-0.49038184152933717,,,,,0.0,11.971507282514345,10,0,0,0,5,0.1,0.9854951387867639,,26.38317382132038,1.1672704709075659,8.346525116516434,14.552294517578728,-7.860946693157752,14.938529646841241,-16.820600859205317,-0.4401235387271981,-8.807201626943373,-14.24074881034293,8.584733850678017,-14.417605242351728
nominal,24,0.625,0.195,0.205,0.14504861213236137,0.1372674237041473,-0.05773257629585271,0.17125608742271123,0.03398866371856393,-0.5066868496349519,,,,,0.0,11.522575759420057,10,0,0,0,5,0.1,0.9862732576295853,,26.741954675436396,1.1941513596959499,8.408530424647067,14.656102523169526,-7.906654067164336,15.046589660084694,-16.939371464485117,-0.4497935310249282,-8.874371003432996,-14.342756804955071,8.64908486877759,-14.519820520763538
nominal,25,0.65,0.195,0.205,0.13726742370414735,0.1297538464363035,-0.06524615356369651,0.1634922314789366,0.0337383850426331,-0.5286302978751838,,,,,0.0,11.090479168441805,10,0,0,0,5,0.1,0.9870246153563697,,27.087281247523062,1.2200242151547693,8.468210533722802,14.756017728550669,-7.950647414645673,15.150597422831517,-17.053688172066924,-0.4591008986114934,-8.93902152830426,-14.440939499769256,8.71102272369843,-14.618202726234905
nominal,26,0.675,0.195,0.205,0.1297538464363036,0.12240497124658642,-0.07259502875341359,0.15582308492627353,0.03341811367968711,-0.5543123217212154,,,,,0.0,10.674586199625239,10,0,0,0,5,0.1,0.9877595028753413,,27.419658073156477,1.2449268385338832,8.525652638708197,14.852186113730019,-7.992991011596461,15.250704894475335,-17.163718003114415,-0.4680592399135624,-9.001247658492849,-14.535440343527908,8.77063790905974,-14.712895599001097
nominal,27,0.7000000000000001,0.195,0.205,0.12240497124658639,0.11512934984935519,-0.07987065015064482,0.1483623342687722,0.03323298441941702,-0.5811433466750582,,,,,0.0,10.274289217139291,9,0,1,0,6,0.1,0.9884870650150644,,27.73957076782864,1.26889561353628,8.580940664756639,14.944748184465142,-8.033746723661594,15.34705833593251,-17.269621715497625,-0.4766816434168038,-9.061140308799366,-14.626397405645612,8.828017524969999,-14.804037489038556
nominal,28,0.7250000000000001,0.195,0.205,0.11512934984935526,0.10786806788809397,-0.08713193211190604,0.14122258409749636,0.033354516209402385,-0.6067400828607519,,,,,0.0,9.889003371496567,8,0,1,0,7,0.1,0.9892131932111906,,28.047486736450594,1.2919655594760873,8.634155389828265,15.0338391775477,-8.072974096524284,15.43979852333504,-17.371554038666464,-0.48498070678867367,-9.11878698471939,-14.713943577933902,8.883245405283624,-14.89176155819961
nominal,29,0.75,0.195,0.205,0.107868067888094,0.10060641367313967,-0.09439358632686033,0.13449653639572684,0.033890122722587165,-0.6293434350607507,,,,,0.0,9.518165745065446,6,0,2,0,9,0.1,0.989939358632686,,28.343855856249228,1.3141703824431517,8.685374562709706,15.119589258389661,-8.110730442904623,15.529060953709976,-17.469663899716473,-0.4929685552840984,-9.174271910292413,-14.79820676876138,8.936402240085489,-14.976195974767124
nominal,30,0.775,0.195,0.205,0.10060641367313969,0.09337125600813703,-0.10162874399186297,0.12825049196660973,0.0348792359584727,-0.6481967119039086,,,,,0.0,9.161234529625492,6,0,0,0,9,0.1,0.9906628743991863,,28.62911113405541,1.3355425245489512,8.734673016608092,15.202123711200048,-8.1470709262957,15.614976042945852,-17.564094640977103,-0.5006568594609447,-9.227676151156448,-14.879310089932828,8.987565693582283,-15.057464100713357
nominal,31,0.8,0.195,0.205,0.09337125600813696,0.0862196201516553,-0.10878037984834471,0.12251828643136241,0.03629866627970711,-0.6630763403964068,,,,,0.0,8.817688234764537,6,0,0,0,9,0.1,0.9913780379848345,,28.90366933894386,1.3561132113257832,8.782122778485288,15.281563122030047,-8.182048641559613,15.697669316335382,-17.654984229440462,-0.5080568522311593,-9.279077732988082,-14.957372036560347,9.036810517572947,-15.135684671936607
nominal,32,0.8250000000000001,0.195,0.205,0.08621962015165534,0.07922247303079735,-0.11577752696920265,0.11729962229378822,0.03807714926299087,-0.6741552593952687,,,,,0.0,8.487024925960869,6,0,0,0,9,0.1,0.9920777526969202,,29.167931611148994,1.375912497348484,8.82779317429209,15.35802355495392,-8.215714692501127,15.777261591972806,-17.742465458336444,-0.5151793452724908,-9.328551755501028,-15.032506660189334,9.084208660663961,-15.210971971738985
nominal,33,0.8500000000000001,0.195,0.205,0.07922247303079734,0.07245259064554282,-0.12254740935445718,0.11257110961042657,0.04011851896488375,-0.6818069509845504,,,,,0.0,8.168761491237335,6,0,0,0,9,0.1,0.9927547409354457,,29.422284048146437,1.3949693101453335,8.871750930256136,15.431616721643149,-8.248118266532334,15.853869157273826,-17.826666141148827,-0.5220347448247724,-9.376170502169739,-15.104823735432234,9.129829373389063,-15.283435997798772
nominal,34,0.875,0.195,0.205,0.07245259064554284,0.06597464287479103,-0.12902535712520896,0.10829728292620489,0.042322640051413854,-0.6865030381231961,,,,,0.0,7.862432935315935,6,0,0,0,9,0.1,0.9934025357125209,,29.667098268756476,1.4133114924623011,8.91406027037153,15.50245014458153,-8.27930670653737,15.927603938876057,-17.907709298355748,-0.5286330668938435,-9.422003545838374,-15.174428920353526,9.173739309386972,-15.353182622881318
nominal,35,0.9,0.195,0.205,0.06597464287479102,0.05983949749710486,-0.13516050250289513,0.10443853605582375,0.044599038558718884,-0.688743039557639,,,,,0.0,7.567591700241587,6,0,0,0,9,0.1,0.9940160502502895,,29.90273195609364,1.4309658429423824,8.954783010232598,15.570627314159722,-8.30932558004222,15.998573666168205,-17.985713337167407,-0.5349839518853243,-9.466117850369434,-15.241423910840268,9.216002622784961,-15.420313749523268
nominal,36,0.925,0.195,0.205,0.05983949749710486,0.054082442123923324,-0.14091755787607668,0.10095569456755853,0.0468732524436352,-0.6890083887887317,,,,,0.0,7.283807011482527,6,0,0,0,9,0.1,0.9945917557876076,,30.129529380155656,1.4479581552794607,8.993978647348875,15.636247839878733,-8.338218745790636,16.066882028686898,-18.06079222452363,-0.5410966786896246,-9.50857786848058,-15.305906589183758,9.256681061930525,-15.484927458916147
nominal,37,0.9500000000000001,0.195,0.205,0.054082442123923304,0.04872398465241216,-0.14627601534758786,0.09781214149971436,0.0490881568473022,-0.6877362877895883,,,,,0.0,7.010664248551934,6,0,0,0,9,0.1,0.9951276015347588,,30.347821900815347,1.4643132559038985,9.031704448073292,15.69940759588328,-8.366028417823488,16.13262882761114,-18.133055653603996,-0.5469801782387637,-9.549445635912559,-15.367971167089367,9.295834059608131,-15.54711815420679
nominal,38,0.9750000000000001,0.195,0.205,0.04872398465241215,0.043771936263879783,-0.15122806373612022,0.09497452213636025,0.051202585872480465,-0.68530778747505,,,,,0.0,6.747764339231238,6,0,0,0,9,0.1,0.995622806373612,,30.5579284519503,1.48005504025492,9.068015531270543,15.760198861037656,-8.392795227155107,16.19591012157572,-18.202609204093847,-0.55264304655481,-9.588780862065837,-15.427708323323516,9.333518819872825,-15.606976698424036
nominal,39,1.0,0.195,0.205,0.043771936263879825,0.039223900326678045,-0.15577609967332195,0.09241275622149576,0.05318885589481772,-0.6820450720200267,,,,,0.0,6.494723176510067,6,0,0,0,9,0.1,0.9960776099673322,,30.76015600741769,1.495206507692778,9.102964948847898,15.818710453748745,-8.41855828113679,16.25681836701663,-18.26955449644033,-0.5580935573090047,-9.626641017238368,-15.485205336198884,9.369790401627595,-15.664590547233136
nominal,40,1.0250000000000001,0.195,0.205,0.039223900326678066,0.03506968749173106,-0.15993031250826895,0.09009977404111669,0.055030086549385626,-0.6782141233427452,,,,,0.0,6.2511710573909385,6,0,0,0,9,0.1,0.9964930312508269,,30.95480002955506,1.5097897951017165,9.136603763266102,15.875027861733166,-8.44335522059416,16.315442553253508,-18.333989340323814,-0.563339673909917,-9.663081416591929,-15.540546211091426,9.40470179906656,-15.720043876711893
nominal,41,1.05,0.195,0.205,0.03506968749173106,0.03129344244209654,-0.16370655755790348,0.08801118115845799,0.05671773871636145,-0.6740301418293562,,,,,0.0,6.0167521427387785,6,0,0,0,9,0.1,0.9968706557557904,,31.142144900862274,1.5238262092328199,9.168981122143624,15.929233366918172,-8.467222274821879,16.3718683325065,-18.396007877561672,-0.5683890611382951,-9.69815530096973,-15.593811803175498,9.438304019101563,-15.773417706335197
nominal,42,1.075,0.195,0.205,0.03129344244209657,0.02787541641578079,-0.16712458358421922,0.08612493836050256,0.05824952194472177,-0.6696640611045066,,,,,0.0,5.791123937386074,6,0,0,0,9,0.1,0.9972124583584219,,31.32246433949547,1.5373362578340068,9.200144330063237,15.981406165658742,-8.490194314516058,16.426178145037508,-18.45570071965311,-0.573249096345609,-9.731913914683366,-15.645079935556417,9.470646155885255,-15.824790017347627
nominal,43,1.1,0.195,0.205,0.027875416415780792,0.024793392773350274,-0.17020660722664974,0.08442108523521252,0.05962769246186225,-0.6652491798963085,,,,,0.0,5.573956789734097,6,0,0,0,9,0.1,0.997520660722665,,31.496021799179918,1.5503396796126492,9.230138917685865,16.03162248444654,-8.512304902721706,16.4784513395986,-18.51315508016612,-0.5779268802326487,-9.76440658038274,-15.694425512973051,9.501775462539559,-15.874235866697092
nominal,44,1.125,0.195,0.205,0.0247933927733503,0.022023803734397076,-0.17297619626560293,0.08288151041381704,0.06085770667941996,-0.6608873858187052,,,,,0.0,5.364933410119067,6,0,0,0,9,0.1,0.9977976196265603,,31.6630708541262,1.5628554730745925,9.259008708272646,16.079955691279796,-8.533586343869642,16.528764289363654,-18.56845490215989,-0.5824292472239244,-9.795680771118388,-15.741920631236562,9.531737420194325,-15.92182749669595
nominal,45,1.1500000000000001,0.195,0.205,0.022023803734397097,0.019542585700150817,-0.17545741429984918,0.08148976219118487,0.06194717649103405,-0.656654726385616,,,,,0.0,5.163748407239603,6,0,0,0,9,0.1,0.9980457414299849,,31.823855569512,1.5749019242817128,9.286795881712422,16.126476402856802,-8.55406973097453,16.577190503512515,-18.62168098082889,-0.5867627754530272,-9.825782179701449,-15.78763468256519,9.560575804437038,-15.967634440569853
nominal,46,1.175,0.195,0.205,0.01954258570015083,0.01732581981276092,-0.17767418018723907,0.08023089108931306,0.06290507127655214,-0.6526062473323713,,,,,0.0,4.97010784196812,6,0,0,0,9,0.1,0.9982674180187239,,31.978610858070827,1.5864966335685662,9.313541036148205,16.171252587749674,-8.573784991062986,16.623800734630795,-18.67291108154781,-0.5909337963735387,-9.854754785462644,-15.831634456968995,9.588332749270648,-16.011723624048482
nominal,47,1.2000000000000002,0.195,0.205,0.017325819812760927,0.01535019951030939,-0.17964980048969062,0.07909131660961774,0.06374111709930835,-0.6487801091664331,,,,,0.0,4.783728797894313,6,0,0,0,9,0.1,0.9984649800489691,,32.1275628233087,1.5976565412571626,9.339283247292647,16.21434966570906,-8.592760928898125,16.66866308208214,-18.722220053489767,-0.594948404009531,-9.882640918507795,-15.873984239832659,9.615048808672999,-16.054159463146664
nominal,48,1.225,0.195,0.205,0.015350199510309403,0.013593360712338316,-0.18140663928766168,0.07805871195723353,0.06446535124489522,-0.645201038548088,,,,,0.0,4.604338967973273,6,0,0,0,9,0.1,0.9986406639287662,,32.270929089850156,1.6083979524074365,9.364060125519172,16.255830603244974,-8.611025269064445,16.71184309150406,-18.769679938983902,-0.5988124638591735,-9.909481321563753,-15.914745905838934,9.640763015847762,-16.095003958278664
nominal,49,1.25,0.195,0.205,0.0135933607123383,0.012034104207271891,-0.18296589579272812,0.07712190160427411,0.06508779739700221,-0.6418831902820024,,,,,0.0,4.431676256674279,6,0,0,0,9,0.1,0.9987965895792729,,32.4089191213963,1.6187365606395754,9.387907870812203,16.295756005623286,-8.628604696474529,16.75340385057266,-18.815360078772006,-0.6025316214644545,-9.935315209505113,-15.953979009369974,9.665512940253471,-16.134316784843215
nominal,50,1.2750000000000001,0.195,0.205,0.01203410420727188,0.010652534176650802,-0.1843474658233492,0.0762707610334692,0.06561822685681841,-0.638832501299446,,,,,0.0,4.265488397048992,6,0,0,0,9,0.1,0.9989347465823349,,32.54173452675947,1.628687471063009,9.410861325656745,16.334184205412413,-8.645524895356735,16.793406081176187,-18.859327213318057,-0.6061113106595375,-9.960180326648672,-15.9917408715186,9.689334742493966,-16.172155380411596
nominal,51,1.3,0.195,0.205,0.01065253417665081,0.009430133329575829,-0.1855698666704242,0.07549613558830383,0.066066002258728,-0.6360486109671992,,,,,0.0,4.105532582159654,6,0,0,0,9,0.1,0.9990569866670425,,32.66956935442152,1.6382652223455638,9.432954025944618,16.37117134770945,-8.661810586780858,16.83190822813208,-18.90164558031863,-0.6095567615098049,-9.984113001899347,-16.028086663836653,9.712263227150443,-16.208575028646163
nominal,52,1.3250000000000002,0.195,0.205,0.009430133329575818,0.008349789407455004,-0.186650210592545,0.07478977126746968,0.06643998186001468,-0.633526409054834,,,,,0.0,3.951575110328667,6,0,0,0,9,0.1,0.9991650210592545,,32.79261037604624,1.647483807955023,9.454218249971694,16.406771472170345,-8.677485564776575,16.868966544577127,-18.94237700855668,-0.6128730079531872,-10.007148201828121,-16.06306948894278,9.734331893632302,-16.243628940071932
nominal,53,1.35,0.195,0.205,0.008349789407455012,0.0073957852326061455,-0.18760421476739386,0.0741442420529698,0.06674845682036365,-0.6312573004957934,,,,,0.0,3.803391043691342,6,0,0,0,9,0.1,0.9992604214767394,,32.91103735936004,1.6563566966041272,9.474685065597756,16.441036591963957,-8.692572731097453,16.904635174155484,-18.981581008235803,-0.6160648951549427,-10.029319581759566,-16.096740458107426,9.75557298512109,-16.277368329819236
nominal,54,1.375,0.195,0.205,0.007395785232606159,0.006553762698801401,-0.1884462373011986,0.07355288142348837,0.06699911872468697,-0.6292302091021794,,,,,0.0,3.6607638795529187,6,0,0,0,9,0.1,0.9993446237301199,,33.02502333079956,1.66489685192889,9.49438437563784,16.47401676976531,-8.707094128681298,16.938966230124652,-19.01931485792696,-0.6191370865866324,-10.050659534943582,-16.1291487659284,9.776017535679049,-16.309842492451015
nominal,55,1.4000000000000001,0.195,0.205,0.0065537626988013955,0.0058106683991782085,-0.1891893316008218,0.07300971799873111,0.0671990495995529,-0.6274323754797726,,,,,0.0,3.523485234069684,6,0,0,0,9,0.1,0.9994189331600822,,33.13473482831011,1.6731167514289742,9.51334496155142,16.50576019089911,-8.721070973855749,16.97200987149498,-19.0556336882547,-0.6220940708396336,-10.071199239883198,-16.160341762206084,9.795695415591085,-16.3410988739841
nominal,56,1.425,0.195,0.205,0.005810668399178213,0.00515468688884603,-0.189845313111154,0.07250941508684278,0.06735472819799675,-0.625849987226117,,,,,0.0,3.39135453779207,6,0,0,0,9,0.1,0.9994845313111154,,33.24033214466401,1.6810284046978052,9.531594525493242,16.536313233740394,-8.734523687336159,17.00381437631392,-19.09059056244515,-0.6249401681831473,-10.090968705887578,-16.190365021123355,9.81463537500642,-16.3711831412097
nominal,57,1.4500000000000002,0.195,0.205,0.0051546868888460206,0.0045751662264189846,-0.19042483377358102,0.07204721386166955,0.06747204763525057,-0.6244686720927537,,,,,0.0,3.2641787426248694,6,0,0,0,9,0.1,0.9995424833773581,,33.341969561654636,1.6886433709690551,9.549159730787245,16.56572053747513,-8.747471924061053,17.034426212202145,-19.124236553853457,-0.6276795368762793,-10.109996816916794,-16.21926240783123,9.832865085943679,-16.400139248414334
nominal,58,1.475,0.195,0.205,0.004575166226418987,0.004062539350113055,-0.19093746064988695,0.07161887350678403,0.06755633415667098,-0.6232738796440256,,,,,0.0,3.1417720397764395,6,0,0,0,9,0.1,0.9995937460649887,,33.439795575508114,1.6959727760051333,9.566066240882723,16.594025067319812,-8.759934601908762,17.063890104244564,-19.156620820583953,-0.6303161792434189,-10.128311373782415,-16.24707614253756,9.85041118272079,-16.428009501598797
nominal,59,1.5,0.195,0.205,0.0040625393501130605,0.003608243991250069,-0.19139175600874994,0.07122062035707688,0.06761237636582682,-0.6222511727010074,,,,,0.0,3.0239555882848235,6,0,0,0,9,0.1,0.999639175600875,,33.53395311384209,1.7030273283523585,9.582338756849621,16.62126817729532,-8.771929929337183,17.092249100335394,-19.187790677312055,-0.6328539475217907,-10.145939134765575,-16.2738468621924,9.867299300868762,-16.454834620288842
nominal,60,1.5250000000000001,0.195,0.205,0.00360824399125007,0.0032046431237595947,-0.1917953568762404,0.0708491133981064,0.06764447027434681,-0.6213864446718833,,,,,0.0,2.91055725372414,6,0,0,0,9,0.1,0.999679535687624,,33.62457974448854,1.7098173349865626,9.59800105346776,16.647489670646745,-8.78347543198704,17.119544634072817,-19.217791664412854,-0.6352965494897236,-10.162905854711866,-16.299613679860183,9.883554114586182,-16.480653797028012
