ros_time_s,elapsed_s,mode,computation_ms,minimum_separation_m,geofence_margin_m,car_1_world_x_m,car_1_world_y_m,car_1_local_x_m,car_1_local_y_m,car_1_yaw_rad,car_1_valid,car_1_mocap_age_s,car_1_reference_x_m,car_1_reference_y_m,car_1_world_cmd_x_mps,car_1_world_cmd_y_mps,car_1_body_cmd_x_mps,car_1_body_cmd_y_mps,car_1_yaw_rate_cmd_rps,car_2_world_x_m,car_2_world_y_m,car_2_local_x_m,car_2_local_y_m,car_2_yaw_rad,car_2_valid,car_2_mocap_age_s,car_2_reference_x_m,car_2_reference_y_m,car_2_world_cmd_x_mps,car_2_world_cmd_y_mps,car_2_body_cmd_x_mps,car_2_body_cmd_y_mps,car_2_yaw_rate_cmd_rps,car_3_world_x_m,car_3_world_y_m,car_3_local_x_m,car_3_local_y_m,car_3_yaw_rad,car_3_valid,car_3_mocap_age_s,car_3_reference_x_m,car_3_reference_y_m,car_3_world_cmd_x_mps,car_3_world_cmd_y_mps,car_3_body_cmd_x_mps,car_3_body_cmd_y_mps,car_3_yaw_rate_cmd_rps,car_4_world_x_m,car_4_world_y_m,car_4_local_x_m,car_4_local_y_m,car_4_yaw_rad,car_4_valid,car_4_mocap_age_s,car_4_reference_x_m,car_4_reference_y_m,car_4_world_cmd_x_mps,car_4_world_cmd_y_mps,car_4_body_cmd_x_mps,car_4_body_cmd_y_mps,car_4_yaw_rate_cmd_rps,minimum_local_gram_eigenvalue,procrustes_factor_disagreement,minimum_node_lambda2_estimate,maximum_node_lambda2_estimate,node_lambda2_estimate_disagreement,node1_lambda2_estimate,node2_lambda2_estimate,node3_lambda2_estimate,node4_lambda2_estimate,active_edge_count,communication_rounds,directed_messages,communication_bytes,maximum_node_bytes,virtual_communication_time_ms,estimator_time_ms,allocation_time_ms,maximum_local_solve_time_ms,total_local_solve_time_ms,parallel_local_solve_time_ms,controller_wall_time_ms,virtual_total_time_ms,deadline_miss,minimum_inner_local_margin,minimum_applied_local_margin,estimated_tightened_global_margin,estimated_untightened_global_margin,allocation_stationarity_residual,maximum_command_speed_mps,maximum_applied_command_speed_mps,saturated_node_count
1786206714.6908321,0.074026773,RUNNING,16.88775299999179,1.1308520497480372,0.6411903202533722,0.9532783031463623,-0.513123095035553,0.9648445397615433,-0.5266546905040741,-0.013137059957114738,True,0.007654604036360979,0.9599923175712355,-0.5600179256671171,-0.009704444380615573,-0.06672647032608592,-0.00882704255714279,-0.06684819670424083,-0.00023951262896862961,0.9118282794952393,0.6169690489768982,0.9233945161104202,0.6034374535083771,0.010298329179680696,True,0.000625567976385355,0.9599923175712355,0.5600179256671171,-0.0064384479063759326,-0.08984098193998095,-0.007363302144664456,-0.0897699138292417,-0.0002166482934181985,-0.982506513595581,0.5455592274665833,-0.9709402769804001,0.5320276319980621,-0.012705654328745618,True,0.008820807561278343,-0.9599923175712355,0.5600179256671171,0.021895918818329196,0.055980587338109844,0.02118290061819603,0.05625426331415457,0.0006414702097233585,-0.9288731217384338,-0.5952780842781067,-0.9173068851232529,-0.6088096797466278,0.004197443435226935,True,0.023679496720433235,-0.9599923175712355,-0.5600179256671171,-0.01701312844739214,0.1005672899251239,-0.0165908543030861,0.100637815437067,-0.00024077351906640282,0.02631719037846852,0.0012655394496011293,0.5381712381964578,0.5885214914106314,0.050350253214173524,0.5885214914030622,0.5381712382018196,0.5381712381964578,0.5885214914106314,4,12,96,4288,1072,120.0,3.2314629997927113,10.93394100007572,4.828793000342557,7.8522140006498375,4.828793000342557,15.76545600028112,135.76545600028112,0,-4.632165276231807e-13,-4.632165276231807e-13,0.10286793267163225,0.1278679326716322,0.08327765769863131,0.1019962074905307,0.1019962074905307,0
1786206714.8908172,0.272907587,RUNNING,15.564837000056286,1.1306970457017023,0.6411908566951752,0.9532988667488098,-0.513034462928772,0.9648651033639908,-0.5265660583972931,-0.013429766005446892,True,0.029177188873291016,0.9598964555001934,-0.5602416038328818,-0.00993729572759472,-0.06735109087117741,-0.009031917401103344,-0.06747846883247215,0.00019954644352960203,0.9116758108139038,0.6168962121009827,0.9232420474290848,0.6033646166324615,0.010200889041129783,True,0.02295251563191414,0.9598964555001934,0.5602416038328818,-0.005965927441292221,-0.08922897293676287,-0.006875816108722693,-0.08916347376826092,-7.048808559182924e-05,-0.9824540615081787,0.5456239581108093,-0.9708878248929977,0.5320923626422882,-0.012598473029426268,True,0.024062171578407288,-0.9598964555001934,0.5602416038328818,0.021982738785608635,0.056298482381187176,0.021271738092636997,0.056570956165327466,0.00048069826074433313,-0.92889004945755,-0.5952775478363037,-0.9173238128423691,-0.6088091433048248,0.0038556464334746168,True,0.011835492216050625,-0.9598964555001934,-0.5602416038328818,-0.01702751629394962,0.10011151526925266,-0.016641396078065834,0.10017642306061574,0.00027192198356207407,0.02635808149413559,0.0012570780891599787,0.5391049250650193,0.5885233123256779,0.049418387260658614,0.5885233123207076,0.5391049250687321,0.5391049250650193,0.5885233123256779,4,12,96,4288,1072,120.0,1.93613200008258,12.766931999976805,6.269283999699837,9.352931999728753,6.269283999699837,15.366971000275953,135.36697100027595,0,3.925231146709437e-17,3.925231146709437e-17,0.10353405884690703,0.12853405884690713,0.08290231937454798,0.10154925800145724,0.10154925800145724,0
1786206715.0742514,0.470389351,RUNNING,8.611836999989464,1.1162799958373244,0.6411907374858856,0.9533389210700989,-0.5130008459091187,0.9649051576852798,-0.5265324413776398,-0.01360156999910395,True,0.01201607659459114,0.9596949429984313,-0.5607117996703271,-0.010420429373697138,-0.06835871658537473,-0.009489708284606192,-0.06849412323845655,0.0004572524340151884,0.9057024121284485,0.6022622585296631,0.9172686487436295,0.588730663061142,0.018227794133663357,True,0.005793548189103603,0.9596949429984313,0.5607117996703271,0.0007182828267382896,-0.0585606010819072,-0.0003492079680198944,-0.05856396488531604,-0.012110845724392187,-0.9824174046516418,0.5456445813179016,-0.9708511680364609,0.5321129858493805,-0.012112450892270884,True,0.006735547911375761,-0.9596949429984313,0.5607117996703271,0.022312450076059198,0.05719762764189329,0.021618026834210064,0.05746368376681643,-0.000248334944988742,-0.928861677646637,-0.5952776670455933,-0.917295441031456,-0.6088092625141144,0.0037022347290147292,True,0.0026439130306243896,-0.9596949429984313,-0.5607117996703271,-0.01706675548463607,0.09915571217051425,-0.016699541639097617,0.09921821762084959,0.0005020395402519053,0.027716955690221,0.005189552822436181,0.5667470578150916,0.5990452973675194,0.03229823955242783,0.599045297364032,0.5667470578180741,0.5667470578150916,0.5990452973675194,4,12,96,4288,1072,120.0,2.071690999855491,5.609761999949114,1.6383570000471082,3.3035309998012963,1.6383570000471082,8.410067000113486,128.4100670001135,0,-3.925231146709437e-17,-3.925231146709437e-17,0.12438016903186153,0.14938016903186163,0.08517243417684608,0.10061376346610947,0.10061376346610947,0
1786206715.276207,0.671870551,RUNNING,8.963855999809311,1.106437732558033,0.6411730349063873,0.9509072303771973,-0.5210427045822144,0.9624734669923782,-0.5345743000507355,-0.015722952371606685,True,0.012383967638015747,0.959382975481363,-0.5614397238768195,-0.006180983022030517,-0.05373084765216807,-0.005335446282259348,-0.05382138565206445,0.003639325992769291,0.9055169820785522,0.5844635963439941,0.9170832186937332,0.570932000875473,0.02021035515623004,True,0.006234914064407349,0.959382975481363,0.5614397238768195,0.0006975139217346576,-0.020711165305179795,0.0002788199621786348,-0.020721031668287843,-0.015084687258242212,-0.9824780225753784,0.5456107258796692,-0.9709117859601974,0.5320791304111481,-0.012476619165159953,True,0.007972059771418571,-0.959382975481363,0.5614397238768195,0.023057620957668945,0.05872118693134287,0.02232320345833188,0.05900429023563597,0.00029791746434486115,-0.9289170503616333,-0.5952953696250916,-0.9173508137464523,-0.6088269650936127,0.0038951122408868075,True,0.003499221056699753,-0.959382975481363,-0.5614397238768195,-0.019660203622632877,0.09731843166725537,-0.019280989225579952,0.09739427192161103,0.00021272327244378796,0.028488021673845797,0.004952875133923084,0.5756247863817506,0.6126613155898496,0.03703652920809897,0.6126613155864462,0.5756247863847707,0.5756247863817506,0.6126613155898496,4,12,96,4288,1072,120.0,1.8842250001398497,6.103260000145383,1.9207069999538362,3.6890540000058536,1.9207069999538362,8.769572999881348,128.76957299988135,0,-7.850462293418875e-17,-7.850462293418875e-17,0.12278629831313438,0.14778629831313433,0.0831332316547801,0.09928444363875763,0.09928444363875763,0
1786206715.4744234,0.8709328740000001,RUNNING,8.9451660001032,1.1122890070843081,0.6411716639995575,0.9498296976089478,-0.5348600745201111,0.9613959342241287,-0.5483916699886322,-0.014446826023713574,True,0.012542537413537502,0.9589720339362207,-0.5623985874821519,-0.00484780057581613,-0.028013834987039354,-0.0044425977679531155,-0.02808094453853238,0.0017251364709296247,0.9058351516723633,0.576558530330658,0.9174013882875443,0.5630269348621368,0.016509943526838454,True,0.006114173214882612,0.9589720339362207,0.5623985874821519,0.0005175536990080915,-0.002613309334228091,0.00047433953421181205,-0.0026214975708560837,-0.009534069814154836,-0.982480525970459,0.5455539226531982,-0.970914289355278,0.5320223271846771,-0.01238935309052155,True,0.006827489007264376,-0.9589720339362207,0.5623985874821519,0.023884510838114714,0.06075252059494951,0.023130012599034314,0.06104376408597604,0.00016701835238725797,-0.9289023876190186,-0.5952967405319214,-0.9173361510038376,-0.6088283360004425,0.004074918547320599,True,0.01067997608333826,-0.9589720339362207,-0.5623985874821519,-0.020689520150595192,0.09487269642368798,-0.020302750936110333,0.09495621662213283,-5.6986187206899044e-05,0.028833202981028042,0.0032309146153074266,0.5788230062380949,0.619941714117559,0.041118707879464145,0.6199417141145104,0.5788230062408664,0.5788230062380949,0.619941714117559,4,12,96,4288,1072,120.0,1.6665500002090994,4.86533999992389,1.4988930001891276,2.9392540004664625,1.4988930001891276,8.621534000212705,128.6215340002127,0,-3.925231146709437e-17,-3.925231146709437e-17,0.12259246803336206,0.147592468033362,0.08131363778216553,0.09710244472083668,0.09710244472083668,0
1786206715.6730428,1.070789478,RUNNING,7.567686999664147,1.118698714547768,0.6412375271320343,0.9489346146583557,-0.5436326861381531,0.9605008512735367,-0.5571642816066742,-0.011969822598581797,True,0.0034567539114505053,0.9584595465276914,-0.5635943914353867,-0.004082609491690592,-0.01286021965742501,-0.003928386151837409,-0.012908165328229833,-0.0019903686667680416,0.9064772129058838,0.5742600560188293,0.9180434495210648,0.5607284605503082,0.012946874394391801,True,0.0059386747889220715,0.9584595465276914,0.5635943914353867,-5.1410557277753455e-05,0.00450435254873569,6.909408905343943e-06,0.00450464062814892,-0.004189466115484855,-0.9824720025062561,0.5455929040908813,-0.9709057658910751,0.5320613086223602,-0.012501175399830354,True,0.007331035099923611,-0.9584595465276914,0.5635943914353867,0.024892438726767496,0.06306616562605294,0.02410211300127004,0.0633724143568211,0.00033475181635046324,-0.928870677947998,-0.5952308773994446,-0.9173044413328171,-0.6087624728679657,0.004071239705867374,True,0.0024745920673012733,-0.9584595465276914,-0.5635943914353867,-0.02153732933784666,0.09200607547664363,-0.021162573094665516,0.09209299636581306,-5.146792502706181e-05,0.028961629960722032,0.0017140835801923529,0.5790609517180078,0.6246040197923562,0.04554306807434849,0.6246040197896096,0.5790609517205462,0.5790609517180078,0.6246040197923562,4,12,96,4288,1072,120.0,1.6492049999214942,4.990658000224357,1.5490719997615088,3.094944000167743,1.5490719997615088,7.373597999958292,127.37359799995829,0,0.0,0.0,0.12366745465469164,0.14866745465469158,0.07931566756161028,0.09449325097392255,0.09449325097392255,0
1786206715.8754578,1.270536444,RUNNING,8.690689000104612,1.1221223916663658,0.6412566006183624,0.9484578371047974,-0.5476526021957397,0.9600240737199783,-0.5611841976642609,-0.009817013427670006,True,0.004050545860081911,0.9578501174563697,-0.565016392601804,-0.004347912527217224,-0.00766438987508633,-0.00427246280680184,-0.0077067033851156656,-0.0052195824231357265,0.9066459536552429,0.5736905336380005,0.9182121902704239,0.5601589381694794,0.011375103345706978,True,0.005918257869780064,0.9578501174563697,0.565016392601804,-9.938529142153318e-05,0.008536706419917663,-2.2750379767556795e-06,0.008537284624528843,-0.0018318095424576216,-0.9824262261390686,0.5456501841545105,-0.9708599895238876,0.5321185886859894,-0.012380566212644592,True,0.00814902875572443,-0.9578501174563697,0.565016392601804,0.026019744135035827,0.0657956078316293,0.02520318395822032,0.06611269630830674,0.0001538380355718197,-0.9288530349731445,-0.5952118039131165,-0.9172867983579636,-0.6087433993816376,0.0034785854531773613,True,0.011735167354345322,-0.9578501174563697,-0.565016392601804,-0.021979553482200362,0.08895242715477135,-0.021669992504834586,0.08902834656918111,0.0008375134540079573,0.029061762805954638,0.0008883801331173798,0.5799700610640061,0.6272973553781056,0.047327294314099544,0.627297355375624,0.5799700610663279,0.5799700610640061,0.6272973553781056,4,12,96,4288,1072,120.0,1.9334439998601738,5.785578999621066,1.7967969997698674,3.648221000275953,1.7967969997698674,8.47810200002641,128.4781020000264,0,-1.1775693440128312e-16,-1.1775693440128312e-16,0.1283796019224941,0.1533796019224942,0.07756980712642766,0.09162769814855008,0.09162769814855008,0
1786206716.0747526,1.470426425,RUNNING,9.009905999846524,1.1234199537997258,0.6412286460399628,0.9476263523101807,-0.5490285754203796,0.9591925889253616,-0.5625601708889008,-0.010209178814621696,True,0.004104276187717915,0.9571457575356569,-0.5666598990834669,-0.004093662779409479,-0.008199456389132331,-0.004009741183160627,-0.008240821298442962,-0.004631334342708193,0.9064180254936218,0.5736353397369385,0.9179842621088028,0.5601037442684174,0.01007718686763901,True,0.0060600899159908295,0.9571457575356569,0.5666598990834669,0.00026821255243890396,0.011956310921300976,0.0003886828742954967,0.011953001064307498,0.00011506517464433125,-0.9823971390724182,0.5456618070602417,-0.9708309024572372,0.5321302115917206,-0.012148298293337186,True,0.007957498542964458,-0.9571457575356569,0.5666598990834669,0.0273702898431607,0.06905937498349268,0.026529336946781352,0.06938677338206052,-0.000194563843389289,-0.9288802146911621,-0.5952397584915161,-0.9173139780759811,-0.6087713539600372,0.00390522337684804,True,0.011918247677385807,-0.9571457575356569,-0.5666598990834669,-0.022833264677975515,0.08562242264447699,-0.022498716729184784,0.08571093851372666,0.0001975565685019393,0.02927059472988125,0.0005550507403310079,0.5827963222470333,0.6317343372834031,0.04893801503636985,0.6317343372810158,0.5827963222492863,0.5827963222470333,0.6317343372834031,4,12,96,4288,1072,120.0,1.8115489997398981,6.193697000071552,2.0726829998238827,3.7693479994231893,2.0726829998238827,8.809990999907313,128.8099909999073,0,-3.925231146709437e-17,-3.925231146709437e-17,0.13469471348155082,0.1596947134815506,0.07561183563966044,0.08861465587228746,0.08861465587228746,0
1786206716.2756598,1.670417655,RUNNING,8.22538500005976,1.1251971981215685,0.6411596834659576,0.9470182657241821,-0.5508617758750916,0.9585845023393631,-0.5643933713436127,-0.012605240665630447,True,0.003803173080086708,0.9563492504798923,-0.5685184155469182,-0.004470503718941643,-0.008250088406611011,-0.004366156963879747,-0.008305783261362703,-0.0010372415661950658,0.9063448309898376,0.5736000537872314,0.9179110676050186,0.5600684583187103,0.009778665345174882,True,0.006227233912795782,0.9563492504798923,0.5685184155469182,0.00032644142888269,0.015766130384062764,0.00048059507725129944,0.015762184482662287,0.0005628474583405218,-0.9824463129043579,0.5456250905990601,-0.9708800762891769,0.5320934951305389,-0.012249296803284918,True,0.007034890819340944,-0.9563492504798923,0.5685184155469182,0.02906165161856933,0.07284984083275847,0.028167134357233753,0.07320035140802864,-4.3066078467692004e-05,-0.9288669228553772,-0.5953087210655212,-0.9173006862401962,-0.6088403165340424,0.003936604028438742,True,0.0035431599244475365,-0.9563492504798923,-0.5685184155469182,-0.02347811258522274,0.0819379368288778,-0.023155374287948532,0.08202972573355695,0.00015048559111588682,0.0294137925109736,0.00017625322790152816,0.5842925859151725,0.6350464457008673,0.0507538597856948,0.6350464456985869,0.5842925859173368,0.5842925859151725,0.6350464457008673,4,12,96,4288,1072,120.0,1.8506229998820345,5.46943499966801,1.5401440000459843,3.358383000431786,1.5401440000459843,8.036894999804645,128.03689499980464,0,-7.850462293418875e-17,-7.850462293418875e-17,0.14228155654706567,0.1672815565470656,0.07361067859689081,0.08523524659633222,0.08523524659633222,0
1786206716.472517,1.8702658060000001,RUNNING,6.36349699971106,1.1268430267477552,0.6411644518375397,0.9459845423698425,-0.5523661375045776,0.9575507789850235,-0.5658977329730988,-0.014180995475751268,True,0.0035168849863111973,0.9554644061393647,-0.5705830523414824,-0.0041727456913176475,-0.009370638736767356,-0.004039445595749653,-0.009428868236347013,0.0013263906489861662,0.906618595123291,0.5737890601158142,0.918184831738472,0.5602574646472931,0.008906502623916004,True,0.0058703189715743065,0.9554644061393647,0.5705830523414824,-9.251424964948352e-05,0.019535460055971326,8.147974561582944e-05,0.01953550919571573,0.0018710915402288392,-0.9825091361999512,0.5455548763275146,-0.9709428995847702,0.5320232808589935,-0.012628542199709184,True,0.006588019896298647,-0.9554644061393647,0.5705830523414824,0.030956986890811056,0.0771195429649778,0.029980636895783543,0.0775043247555134,0.0005258020161687083,-0.928864061832428,-0.5953039526939392,-0.917297825217247,-0.6088355481624603,0.00386334762781166,True,0.002329655922949314,-0.9554644061393647,-0.5705830523414824,-0.024603481280381374,0.07768970568174419,-0.024303156078010025,0.07778417746995847,0.0002603701920565093,0.029531935866837816,0.0006501437716658258,0.5848996559940874,0.639720650244802,0.054820994250714516,0.6397206502425496,0.5848996559962316,0.5848996559940874,0.639720650244802,4,12,96,4288,1072,120.0,1.4325860001918045,4.155863000050886,1.2684180001087952,2.5581810000403493,1.2684180001087952,6.206720000136556,126.20672000013656,0,0.0,0.0,0.14886638601266353,0.17386638601266363,0.07108883147970807,0.08310089617137052,0.08310089617137052,0
1786206716.6754317,2.0705834850000002,RUNNING,9.707189999971888,1.1287355009866389,0.6411993205547333,0.9452702403068542,-0.5535973310470581,0.9568364769220352,-0.5671289265155792,-0.01583145663718262,True,0.01248160470277071,0.9544911130311643,-0.5728540695939499,-0.004690727781741844,-0.011450286156741374,-0.004508872827125041,-0.011523109216807822,0.0038020823911331936,0.9066948294639587,0.574478805065155,0.9182610660791397,0.5609472095966339,0.006094452404486509,True,0.006322086788713932,0.9544911130311643,0.5728540695939499,-0.00022048006536476428,0.02270147433123021,-8.212377243820259e-05,0.022702396436427758,0.006089166869373082,-0.9824819564819336,0.5455683469772339,-0.9709157198667526,0.5320367515087128,-0.012291721011865788,True,0.007102958858013153,-0.9544911130311643,0.5728540695939499,0.03284921367117666,0.08163463617047428,0.03184332726215237,0.08203223250878762,2.0570234403613843e-05,-0.9288774728775024,-0.5952690839767456,-0.9173112362623215,-0.6088006794452667,0.00395156023425723,True,0.0034732359927147627,-0.9544911130311643,-0.5728540695939499,-0.02537006384928412,0.07298250750554057,-0.025081471751029857,0.07308218877616714,0.00012805128238815465,0.029650930044812923,0.001034439468723366,0.5859800205221813,0.6433428612194246,0.05736284069724329,0.6433428612173017,0.5859800205242058,0.5859800205221813,0.6433428612194246,4,12,96,4288,1072,120.0,1.970534000065527,6.372489000114001,2.0772910002051503,4.068434000146226,2.0772910002051503,9.50359499984188,129.50359499984188,0,-3.925231146709437e-17,-3.925231146709437e-17,0.15751897960326264,0.18251897960326258,0.06859407103505559,0.08799593548284107,0.08799593548284107,0
1786206716.8754363,2.2706505910000003,RUNNING,7.386941999811825,1.1330429370757304,0.6412909924983978,0.9435099363327026,-0.5555945038795471,0.9550761729478836,-0.5691260993480682,-0.015276363834367875,True,0.0027436299715191126,0.9534355455832042,-0.5753170603058568,-0.003281254729358807,-0.012381921915577188,-0.0030917284807351173,-0.012430600867367657,0.0029694431869110756,0.908343493938446,0.5769025683403015,0.919909730553627,0.5633709728717804,0.0030112862111221737,True,0.005100359208881855,0.9534355455832042,0.5753170603058568,-0.0022797225828427303,0.022745774751449115,-0.0022112183124106052,0.022752536510755084,0.010713916159419586,-0.9824382662773132,0.5456383228302002,-0.9708720296621323,0.5321067273616791,-0.012478282543639722,True,0.008308621123433113,-0.9534355455832042,0.5753170603058568,0.03487296815785612,0.08642066588835551,0.03379189969969713,0.0868490812583025,0.00030041253206451474,-0.9288941621780396,-0.595177412033081,-0.9173279255628586,-0.6087090075016022,0.00368346228835917,True,0.003330379957333207,-0.9534355455832042,-0.5753170603058568,-0.027319643900764058,0.067732994139745,-0.027069967200539696,0.06783316529368941,0.0005301982012352441,0.029590574504834072,0.002278948923919977,0.5822083245086693,0.6494730764911475,0.06726475198247817,0.6494730764893292,0.582208324510407,0.5822083245086693,0.6494730764911475,4,12,96,4288,1072,120.0,1.7652759997872636,4.76165400004902,1.447915000426292,2.893463000873453,1.447915000426292,7.203220000064903,127.2032200000649,0,0.0,0.0,0.15988292375931865,0.18488292375931842,0.06473370236845667,0.09319149854319127,0.09319149854319127,0
1786206717.0745435,2.4712638360000003,RUNNING,9.139992000200436,1.1376596576791966,0.6412205994129181,0.9437249898910522,-0.5576095581054688,0.9552912265062332,-0.5711411535739899,-0.015289480962834858,True,0.004006798844784498,0.9522961457647334,-0.5779756598822887,-0.005990161482999579,-0.013669012616597698,-0.005780477376262714,-0.013758997848958104,0.002989118879611551,0.9094765782356262,0.5795344710350037,0.9210428148508072,0.5660028755664825,0.0006825751361076575,True,0.006186943966895342,0.9522961457647334,0.5779756598822887,-0.003893077510808751,0.022756917123021136,-0.0038775432993027655,0.022759569139402653,0.014206982771941356,-0.9824115633964539,0.5456669330596924,-0.9708453267812729,0.5321353375911713,-0.012252036002203471,True,0.00707098888233304,-0.9522961457647334,0.5779756598822887,0.037098362033078924,0.0916806445822349,0.03597233115065252,0.09212828256371255,-3.895728008986194e-05,-0.9288891553878784,-0.5952478051185608,-0.9173229187726974,-0.6087794005870819,0.0038389059660377724,True,0.011519283056259155,-0.9522961457647334,-0.5779756598822887,-0.027097019477487848,0.06246872535800976,-0.026857008837205716,0.06257228770578922,0.0002970326847173406,0.029300123801746923,0.0032876470338219113,0.5766180209773829,0.6472190350280534,0.07060101405067054,0.647219035027009,0.5766180209783837,0.5766180209773829,0.6472190350280534,4,12,96,4288,1072,120.0,2.024168999923859,5.855407000126434,1.6205000001718872,3.298667000308342,1.6205000001718872,8.934893000059674,128.93489300005967,0,-3.925231146709437e-17,-3.925231146709437e-17,0.16885429555226084,0.19385429555226077,0.062057754928678766,0.09890211856452555,0.09890211856452555,0
